Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,CreateVacancy,14,1,200.0,199.50276750231362,179.5802919950802,207.46972999768332,0.0,0.01928286976496878,0.001377347840354913,200,210,210,210,210,210,210,210,210,210,210
grpc,DeleteVacancy,12,1,210.0,272.80535124979605,164.32347099180333,413.2308499974897,0.0,0.016528174084258957,0.001377347840354913,240,240,410,410,410,410,410,410,410,410,410
grpc,GetVacancies,17,0,1,1.0404842939940007,0.5122309958096594,1.406451003276743,0.0,0.02341491328603352,0.0,1,1,1,1,1,1,1,1,1,1,1
grpc,GetVacancy,12,1,210.0,243.51064416623558,154.36279600544367,508.4479149954859,0.0,0.016528174084258957,0.001377347840354913,210,210,210,210,510,510,510,510,510,510,510
grpc,UpdateVacancy,12,1,210.0,241.32236958515327,202.0694490056485,308.3195539948065,0.0,0.016528174084258957,0.001377347840354913,230,260,300,300,310,310,310,310,310,310,310
,Aggregated,67,4,200.0,177.64757250812696,0.5122309958096594,508.4479149954859,0.0,0.09228230530377916,0.005509391361419652,200,210,210,230,310,410,510,510,510,510,510
