Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,CreateVacancy,15,1,200.0,217.49157453208076,175.4161419958109,308.4405919944402,0.0,0.026049384367879735,0.0017366256245253157,200,210,210,310,310,310,310,310,310,310,310
grpc,DeleteVacancy,15,1,210.0,258.4945136011811,177.18045800575055,427.1426790073747,0.0,0.026049384367879735,0.0017366256245253157,210,270,280,420,430,430,430,430,430,430,430
grpc,GetVacancies,39,0,1,1.1600940503203907,0.4688900080509484,2.4616919981781393,0.0,0.0677283993564873,0.0,1,1,1,1,2,2,2,2,2,2,2
grpc,GetVacancy,15,1,207.84400700358674,198.75425086550726,164.4963069993537,207.84400700358674,0.0,0.026049384367879735,0.0017366256245253157,210,210,210,210,210,210,210,210,210,210,210
grpc,SignInUser,3,0,970.0,743.6105526624791,264.17165699240286,995.508673004224,0.0,0.005209876873575946,0.0,970,970,1000,1000,1000,1000,1000,1000,1000,1000,1000
grpc,UpdateVacancy,15,1,210.0,230.04474679667814,178.79961399012245,353.12623500067275,0.0,0.026049384367879735,0.0017366256245253157,210,210,210,350,350,350,350,350,350,350,350
,Aggregated,102,4,190.0,155.37109424393765,0.4688900080509484,995.508673004224,0.0,0.17713581370158218,0.006946502498101263,190,210,210,210,310,350,430,970,1000,1000,1000
